"name","url","address","fee","LocName","fX","fY","iConf","iLvl"
クレイシア江戸川橋レーヴ,https://www.homes.co.jp/chintai/room/e9794c219450c752b020780fbbabf83ac14f63de/,東京都文京区水道2丁目17-12,10.8,"東京都/文京区/水道/二丁目/１７番","139.73857","35.71048","5","7"
SOPHIAS大塚,https://www.homes.co.jp/chintai/room/3fa580b516efb8d72a7ed30d55574199f44f1115/,東京都文京区大塚5丁目,8.3,"東京都/文京区/大塚/五丁目","139.72729","35.72279","5","6"
ラフィーネ音羽（東棟）,https://www.homes.co.jp/chintai/room/8634ace3ef78165437fe1c4bd3837f1c91129154/,東京都文京区音羽1丁目5-19,8.9,"東京都/文京区/音羽/一丁目/５番","139.73070","35.71295","5","7"
フレンシア文京関口,https://www.homes.co.jp/chintai/room/91c9a9492e85c815a6e241f540b434108705da57/,東京都文京区関口1丁目,16.7,"東京都/文京区/関口/一丁目","139.72963","35.70970","5","6"
サンイング飯田橋,https://www.homes.co.jp/chintai/room/bb2a6f95426a183eb754d3430ffd8706bb63072b/,東京都文京区後楽2丁目,11.8,"東京都/文京区/後楽/二丁目","139.74524","35.70557","5","6"
クレイシア江戸川橋レーヴ,https://www.homes.co.jp/chintai/room/e09e40b05ed38b32c66a4f476dd93349fe95280d/,東京都文京区水道2丁目,10.8,"東京都/文京区/水道/二丁目","139.73694","35.70975","5","6"
ザ・パークヒルズ千石,https://www.homes.co.jp/chintai/room/0984d548e60b60d073028831b1778b56004712a0/,東京都文京区千石4丁目,18.3,"東京都/文京区/千石/四丁目","139.74068","35.72905","5","6"
ＴＭＹ小石川,https://www.homes.co.jp/chintai/room/3b30e7ff41f137230a9e96de516d3c44c1c67a82/,東京都文京区小石川5丁目33-8,15.1,"東京都/文京区/小石川/五丁目/３３番","139.74057","35.72013","5","7"
東京メトロ有楽町線 江戸川橋駅 徒歩4分,https://www.homes.co.jp/chintai/room/2f237ab47b8ddf7098f12ae974a96f25cd53e222/,東京都文京区水道2丁目,10.3,"東京都/文京区/水道/二丁目","139.73694","35.70975","5","6"
Sky Hills Hakusan～スカイヒルズ白山～,https://www.homes.co.jp/chintai/room/d3ad45dde53755641dd8e9918027b16da7d56125/,東京都文京区白山2丁目2-15,8.8,"東京都/文京区/白山/二丁目/２番","139.75058","35.71558","5","7"
東京メトロ有楽町線 東池袋駅 徒歩7分,https://www.homes.co.jp/chintai/room/d8d76a5a8eeede77663329f480796df611a5df36/,東京都文京区大塚6丁目,8.3,"東京都/文京区/大塚/六丁目","139.72549","35.72501","5","6"
東京メトロ丸ノ内線 茗荷谷駅 徒歩7分,https://www.homes.co.jp/chintai/room/2524677d78cc5b5bcd738a93cec53241a25f3591/,東京都文京区小石川5丁目,10.4,"東京都/文京区/小石川/五丁目","139.73993","35.71806","5","6"
東京メトロ丸ノ内線 新大塚駅 徒歩8分,https://www.homes.co.jp/chintai/room/8819de8be6ede29e45ef4c46dcd985b008a997bf/,東京都文京区大塚4丁目,8.9,"東京都/文京区/大塚/四丁目","139.73383","35.72386","5","6"
東京メトロ有楽町線 江戸川橋駅 徒歩8分,https://www.homes.co.jp/chintai/room/e57c4672575720a7c4d83f33b73a2d1c1373fd08/,東京都文京区水道2丁目,10.7,"東京都/文京区/水道/二丁目","139.73694","35.70975","5","6"
